,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,enter,exit,enter_exit
582681,1334023,Endicott Deli & Grocery  ,Convenience Store,2,Washington Ave, ,Endicott,NY,13760,5312,BROOME,42.10457,-76.04839,2018-10-11,,1,0,0
582684,958850,Endicott Gas Inc  ,Convenience Store,415,W Main St,,Endicott,NY,13760,4619,BROOME,42.0942,-76.07159,2015-09-14,,0,0,0
582685,991479,Endicott Smoke&Beer Shop Inc - Endicott Mini Mart  ,Convenience Store,132,W Main St,Ste 1,Endicott,NY,13760,4609,BROOME,42.09515,-76.06701,2011-08-02,,0,0,0
582688,1318909,Euro Foods Usa  ,Small Grocery Store,2305,Country Club Rd, ,Endicott,NY,13760,3148,BROOME,42.11538,-76.03812,2018-07-24,2019-04-11,1,1,1
582689,307690,EUROPEAN MARKET  ,Combination Grocery/Other,20,Downs Ave, ,Binghamton,NY,13905,1819,BROOME,42.11522,-75.94218,2000-06-06,,0,0,0
582695,1104709,Express Way Mart  ,Convenience Store,237,Main St, ,Johnson City,NY,13790,2475,BROOME,42.1151,-75.95499,2013-12-13,2019-12-04,0,1,0
582696,1044413,EZ Food Mart  ,Convenience Store,2000,E Main St, ,Endicott,NY,13760,5623,BROOME,42.10239,-76.03957,2012-04-25,,0,0,0
582699,1407031,Family Delight's  ,Convenience Store,153,Main St,,Binghamton,NY,13905,2744,BROOME,42.1028,-75.92982,2020-08-10,,1,0,0
582700,879695,Family Dollar 7929,Combination Grocery/Other,417,State Hwy 10, ,Deposit,NY,13754, ,BROOME,42.05632,-75.41437,2009-01-16,,0,0,0
582701,888778,Family Dollar 3819,Combination Grocery/Other,1173,VESTAL AVE, ,BINGHAMTON,NY,13903, ,BROOME,42.08886,-75.91493,2009-03-20,,0,0,0
582702,888765,Family Dollar 1877,Combination Grocery/Other,457,Court St, ,Binghamton,NY,13904,1650,BROOME,42.1045,-75.87777,2009-03-20,,0,0,0
582704,888821,Family Dollar 5098,Combination Grocery/Other,60,Court St, ,Binghamton,NY,13901, ,BROOME,42.09868,-75.91253,2009-03-21,2017-11-29,0,1,0
582705,888810,Family Dollar 4087,Combination Grocery/Other,1113,Conklin Rd, ,Conklin,NY,13748,1110,BROOME,42.07054,-75.81464,2009-03-21,,0,0,0
582706,1040656,Family Dollar 9060,Combination Grocery/Other,56,Main St, ,Binghamton,NY,13905,3004,BROOME,42.09941,-75.92053,2012-01-12,,0,0,0
582707,1088298,Family Dollar Store 10249,Combination Grocery/Other,3605,State Route 79,,Harpursville,NY,13787,2240,BROOME,42.18313,-75.63309,2013-01-15,,0,0,0
